,year,community,count
245,2018,DOUGLAS,11
246,2018,WASHINGTON HEIGHTS,11
247,2018,WEST ENGLEWOOD,11
248,2016,PULLMAN,11
249,2018,WEST PULLMAN,11
250,2016,WOODLAWN,11
251,2016,WASHINGTON HEIGHTS,11
252,2018,ARCHER HEIGHTS,11
253,2018,AVALON PARK,11
254,2018,GAGE PARK,11
255,2018,FOREST GLEN,11
256,2016,AVALON PARK,11
257,2016,CHATHAM,11
258,2016,HEGEWISCH,11
259,2016,FULLER PARK,11
260,2014,FULLER PARK,11
261,2014,KENWOOD,11
262,2015,CHATHAM,11
263,2015,AVALON PARK,11
264,2015,GREATER GRAND CROSSING,11
265,2018,WOODLAWN,11
266,2018,OHARE,11
267,2014,GREATER GRAND CROSSING,11
268,2018,HYDE PARK,11
269,2015,GRAND BOULEVARD,11
270,2015,WASHINGTON PARK,11
271,2014,AVALON PARK,10
272,2016,NORWOOD PARK,10
273,2014,DOUGLAS,10
274,2016,DOUGLAS,10
275,2018,CALUMET HEIGHTS,10
276,2014,PULLMAN,10
277,2016,MORGAN PARK,10
278,2018,WEST GARFIELD PARK,10
279,2018,NEAR SOUTH SIDE,10
280,2015,KENWOOD,10
281,2014,WASHINGTON PARK,10
282,2018,KENWOOD,10
283,2018,MOUNT GREENWOOD,9
284,2015,MORGAN PARK,9
285,2018,HEGEWISCH,9
286,2015,OHARE,9
287,2015,PULLMAN,9
288,2016,KENWOOD,9
289,2014,BURNSIDE,8
290,2015,EDISON PARK,8
291,2018,OAKLAND,8
292,2014,EDISON PARK,8
293,2014,MOUNT GREENWOOD,8
294,2015,OAKLAND,8
295,2015,RIVERDALE,7
296,2016,RIVERDALE,7
297,2016,OHARE,7
298,2016,EDISON PARK,6
299,2014,OAKLAND,6
300,2015,BURNSIDE,5
301,2018,EDISON PARK,5
302,2016,BURNSIDE,5
303,2016,OAKLAND,5
304,2018,PULLMAN,5
305,2014,RIVERDALE,5
306,2018,BURNSIDE,4
307,2018,RIVERDALE,2
