,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
160,AUSTIN,64.0,954.0,2014-03-01,2014,3,1564,2014-04-01
161,ARMOUR SQUARE,44.0,124.0,2014-03-01,2014,3,111,2014-04-01
162,EAST SIDE,67.0,153.0,2014-03-01,2014,3,87,2014-04-01
163,WEST ENGLEWOOD,28.0,278.0,2014-03-01,2014,3,662,2014-04-01
164,MOUNT GREENWOOD,5.0,167.0,2014-03-01,2014,3,48,2014-04-01
165,WASHINGTON PARK,3.0,111.0,2014-03-01,2014,3,253,2014-04-01
166,CALUMET HEIGHTS,3.0,185.0,2014-03-01,2014,3,122,2014-04-01
167,GAGE PARK,509.0,292.0,2014-03-01,2014,3,215,2014-04-01
168,UPTOWN,176.0,218.0,2014-03-01,2014,3,284,2014-04-01
169,LAKE VIEW,393.0,725.0,2014-03-01,2014,3,434,2014-04-01
170,GARFIELD RIDGE,125.0,577.0,2014-03-01,2014,3,184,2014-04-01
171,ALBANY PARK,386.0,483.0,2014-03-01,2014,3,229,2014-04-01
172,NORTH PARK,56.0,391.0,2014-03-01,2014,3,70,2014-04-01
173,DUNNING,61.0,595.0,2014-03-01,2014,3,122,2014-04-01
174,ASHBURN,60.0,388.0,2014-03-01,2014,3,231,2014-04-01
175,ARCHER HEIGHTS,420.0,160.0,2014-03-01,2014,3,89,2014-04-01
176,NEAR NORTH SIDE,234.0,387.0,2014-03-01,2014,3,693,2014-04-01
177,CHICAGO LAWN,302.0,514.0,2014-03-01,2014,3,564,2014-04-01
178,FOREST GLEN,23.0,507.0,2014-03-01,2014,3,41,2014-04-01
179,DOUGLAS,3.0,92.0,2014-03-01,2014,3,211,2014-04-01
180,GRAND BOULEVARD,13.0,121.0,2014-03-01,2014,3,275,2014-04-01
181,OHARE,6.0,150.0,2014-03-01,2014,3,160,2014-04-01
182,EDGEWATER,120.0,442.0,2014-03-01,2014,3,193,2014-04-01
183,LINCOLN PARK,160.0,671.0,2014-03-01,2014,3,321,2014-04-01
