,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
1686,HUMBOLDT PARK,103.0,39.0,2015-12-01,2015,12,1242,2016-01-01
1687,LINCOLN SQUARE,139.0,29.0,2015-12-01,2015,12,280,2016-01-01
1688,LOOP,94.0,29.0,2015-12-01,2015,12,1474,2016-01-01
1689,AVALON PARK,1.0,14.0,2015-12-01,2015,12,190,2016-01-01
1690,BEVERLY,2.0,33.0,2015-12-01,2015,12,110,2016-01-01
1691,CHATHAM,5.0,38.0,2015-12-01,2015,12,964,2016-01-01
1692,RIVERDALE,1.0,4.0,2015-12-01,2015,12,138,2016-01-01
1693,ROSELAND,17.0,43.0,2015-12-01,2015,12,996,2016-01-01
1694,GREATER GRAND CROSSING,8.0,24.0,2015-12-01,2015,12,1030,2016-01-01
1695,DOUGLAS,2.0,4.0,2015-12-01,2015,12,420,2016-01-01
1696,HEGEWISCH,1.0,26.0,2015-12-01,2015,12,88,2016-01-01
1697,AUSTIN,45.0,83.0,2015-12-01,2015,12,2508,2016-01-01
1698,AVONDALE,482.0,33.0,2015-12-01,2015,12,390,2016-01-01
1699,GAGE PARK,379.0,18.0,2015-12-01,2015,12,440,2016-01-01
1700,WEST ELSDON,215.0,10.0,2015-12-01,2015,12,218,2016-01-01
1701,MCKINLEY PARK,334.0,21.0,2015-12-01,2015,12,142,2016-01-01
1702,WEST LAWN,253.0,14.0,2015-12-01,2015,12,376,2016-01-01
1703,BRIGHTON PARK,382.0,23.0,2015-12-01,2015,12,458,2016-01-01
1704,ARCHER HEIGHTS,176.0,20.0,2015-12-01,2015,12,146,2016-01-01
1705,IRVING PARK,441.0,65.0,2015-12-01,2015,12,496,2016-01-01
1706,LOGAN SQUARE,818.0,98.0,2015-12-01,2015,12,812,2016-01-01
1707,LOWER WEST SIDE,468.0,52.0,2015-12-01,2015,12,422,2016-01-01
1708,BELMONT CRAGIN,481.0,78.0,2015-12-01,2015,12,880,2016-01-01
1709,WASHINGTON HEIGHTS,4.0,50.0,2015-12-01,2015,12,480,2016-01-01
1710,WEST PULLMAN,3.0,26.0,2015-12-01,2015,12,554,2016-01-01
1711,FOREST GLEN,12.0,46.0,2015-12-01,2015,12,86,2016-01-01
1712,BURNSIDE,2.0,5.0,2015-12-01,2015,12,58,2016-01-01
1713,SOUTH DEERING,22.0,67.0,2015-12-01,2015,12,282,2016-01-01
1714,PULLMAN,4.0,7.0,2015-12-01,2015,12,174,2016-01-01
1715,AUBURN GRESHAM,23.0,82.0,2015-12-01,2015,12,1166,2016-01-01
1716,EAST SIDE,77.0,30.0,2015-12-01,2015,12,252,2016-01-01
1717,WOODLAWN,3.0,7.0,2015-12-01,2015,12,540,2016-01-01
1718,SOUTH SHORE,6.0,43.0,2015-12-01,2015,12,1254,2016-01-01
1719,GARFIELD RIDGE,94.0,36.0,2015-12-01,2015,12,260,2016-01-01
1720,FULLER PARK,2.0,3.0,2015-12-01,2015,12,138,2016-01-01
1721,MOUNT GREENWOOD,18.0,32.0,2015-12-01,2015,12,114,2016-01-01
1722,UPTOWN,155.0,28.0,2015-12-01,2015,12,562,2016-01-01
1723,ROGERS PARK,88.0,20.0,2015-12-01,2015,12,624,2016-01-01
1724,ARMOUR SQUARE,20.0,7.0,2015-12-01,2015,12,180,2016-01-01
1725,HYDE PARK,7.0,11.0,2015-12-01,2015,12,240,2016-01-01
1726,WASHINGTON PARK,12.0,7.0,2015-12-01,2015,12,392,2016-01-01
1727,WEST TOWN,542.0,73.0,2015-12-01,2015,12,1154,2016-01-01
1728,OAKLAND,1.0,4.0,2016-01-01,2016,1,84,2016-02-01
1729,RIVERDALE,2.0,13.0,2016-01-01,2016,1,194,2016-02-01
1730,BEVERLY,8.0,53.0,2016-01-01,2016,1,98,2016-02-01
1731,WASHINGTON HEIGHTS,1.0,50.0,2016-01-01,2016,1,516,2016-02-01
1732,MOUNT GREENWOOD,9.0,70.0,2016-01-01,2016,1,98,2016-02-01
1733,HEGEWISCH,17.0,19.0,2016-01-01,2016,1,94,2016-02-01
1734,AVALON PARK,1.0,17.0,2016-01-01,2016,1,212,2016-02-01
1735,WEST PULLMAN,1.0,39.0,2016-01-01,2016,1,522,2016-02-01
1736,PULLMAN,2.0,10.0,2016-01-01,2016,1,198,2016-02-01
1737,CALUMET HEIGHTS,5.0,22.0,2016-01-01,2016,1,220,2016-02-01
1738,ROSELAND,18.0,46.0,2016-01-01,2016,1,820,2016-02-01
1739,CHATHAM,4.0,58.0,2016-01-01,2016,1,852,2016-02-01
1740,CLEARING,11.0,33.0,2016-01-01,2016,1,126,2016-02-01
1741,JEFFERSON PARK,8.0,33.0,2016-01-01,2016,1,154,2016-02-01
1742,IRVING PARK,436.0,58.0,2016-01-01,2016,1,494,2016-02-01
1743,WEST LAWN,260.0,58.0,2016-01-01,2016,1,328,2016-02-01
1744,GAGE PARK,416.0,53.0,2016-01-01,2016,1,310,2016-02-01
1745,EAST SIDE,99.0,77.0,2016-01-01,2016,1,176,2016-02-01
1746,GARFIELD RIDGE,88.0,92.0,2016-01-01,2016,1,270,2016-02-01
1747,SOUTH CHICAGO,94.0,46.0,2016-01-01,2016,1,742,2016-02-01
1748,NEW CITY,229.0,102.0,2016-01-01,2016,1,578,2016-02-01
1749,NORTH PARK,40.0,26.0,2016-01-01,2016,1,178,2016-02-01
1750,BELMONT CRAGIN,300.0,87.0,2016-01-01,2016,1,682,2016-02-01
1751,AVONDALE,415.0,50.0,2016-01-01,2016,1,322,2016-02-01
1752,ARCHER HEIGHTS,248.0,32.0,2016-01-01,2016,1,158,2016-02-01
1753,NORTH CENTER,159.0,75.0,2016-01-01,2016,1,176,2016-02-01
1754,AUSTIN,47.0,70.0,2016-01-01,2016,1,2434,2016-02-01
1755,GREATER GRAND CROSSING,8.0,75.0,2016-01-01,2016,1,932,2016-02-01
1756,EAST GARFIELD PARK,17.0,29.0,2016-01-01,2016,1,702,2016-02-01
1757,ARMOUR SQUARE,67.0,15.0,2016-01-01,2016,1,152,2016-02-01
1758,NEAR WEST SIDE,176.0,94.0,2016-01-01,2016,1,1302,2016-02-01
1759,ASHBURN,88.0,77.0,2016-01-01,2016,1,352,2016-02-01
1760,NEAR NORTH SIDE,112.0,55.0,2016-01-01,2016,1,1512,2016-02-01
1761,LINCOLN SQUARE,235.0,31.0,2016-01-01,2016,1,290,2016-02-01
1762,HUMBOLDT PARK,88.0,66.0,2016-01-01,2016,1,1146,2016-02-01
1763,SOUTH SHORE,11.0,53.0,2016-01-01,2016,1,1088,2016-02-01
1764,LAKE VIEW,222.0,80.0,2016-01-01,2016,1,736,2016-02-01
1765,HERMOSA,125.0,26.0,2016-01-01,2016,1,292,2016-02-01
1766,UPTOWN,130.0,56.0,2016-01-01,2016,1,480,2016-02-01
1767,LOGAN SQUARE,736.0,85.0,2016-01-01,2016,1,736,2016-02-01
1768,DUNNING,61.0,95.0,2016-01-01,2016,1,292,2016-02-01
1769,CHICAGO LAWN,172.0,27.0,2016-01-01,2016,1,774,2016-02-01
1770,ALBANY PARK,310.0,37.0,2016-01-01,2016,1,352,2016-02-01
1771,BRIGHTON PARK,449.0,42.0,2016-01-01,2016,1,410,2016-02-01
1772,SOUTH LAWNDALE,450.0,49.0,2016-01-01,2016,1,724,2016-02-01
1773,WEST TOWN,633.0,139.0,2016-01-01,2016,1,1036,2016-02-01
1774,PORTAGE PARK,182.0,87.0,2016-01-01,2016,1,494,2016-02-01
1775,NORTH LAWNDALE,57.0,47.0,2016-01-01,2016,1,1130,2016-02-01
1776,MORGAN PARK,3.0,76.0,2016-01-01,2016,1,300,2016-02-01
1777,LOOP,74.0,38.0,2016-01-01,2016,1,1238,2016-02-01
1778,BRIDGEPORT,164.0,36.0,2016-01-01,2016,1,292,2016-02-01
1779,DOUGLAS,7.0,7.0,2016-01-01,2016,1,382,2016-02-01
1780,MCKINLEY PARK,381.0,33.0,2016-01-01,2016,1,142,2016-02-01
1781,LOWER WEST SIDE,453.0,62.0,2016-01-01,2016,1,400,2016-02-01
1782,WEST ELSDON,179.0,18.0,2016-01-01,2016,1,156,2016-02-01
1783,LINCOLN PARK,171.0,81.0,2016-01-01,2016,1,524,2016-02-01
1784,WASHINGTON PARK,5.0,23.0,2016-01-01,2016,1,404,2016-02-01
1785,FULLER PARK,2.0,11.0,2016-01-01,2016,1,90,2016-02-01
1786,SOUTH DEERING,17.0,54.0,2016-01-01,2016,1,258,2016-02-01
1787,WEST GARFIELD PARK,15.0,14.0,2016-01-01,2016,1,934,2016-02-01
1788,MONTCLARE,25.0,27.0,2016-01-01,2016,1,96,2016-02-01
1789,NEAR SOUTH SIDE,15.0,7.0,2016-01-01,2016,1,244,2016-02-01
1790,WOODLAWN,2.0,14.0,2016-01-01,2016,1,518,2016-02-01
1791,HYDE PARK,20.0,25.0,2016-01-01,2016,1,136,2016-02-01
1792,ROGERS PARK,104.0,20.0,2016-01-01,2016,1,540,2016-02-01
1793,WEST RIDGE,199.0,74.0,2016-01-01,2016,1,418,2016-02-01
1794,AUBURN GRESHAM,6.0,128.0,2016-01-01,2016,1,1086,2016-02-01
1795,WEST ENGLEWOOD,37.0,89.0,2016-01-01,2016,1,916,2016-02-01
1796,GRAND BOULEVARD,3.0,16.0,2016-01-01,2016,1,396,2016-02-01
1797,EDGEWATER,131.0,60.0,2016-01-01,2016,1,310,2016-02-01
1798,ENGLEWOOD,8.0,40.0,2016-01-01,2016,1,942,2016-02-01
1799,FOREST GLEN,11.0,41.0,2016-01-01,2016,1,76,2016-02-01
1800,NORWOOD PARK,4.0,94.0,2016-02-01,2016,2,240,2016-03-01
1801,WASHINGTON PARK,2.0,25.0,2016-02-01,2016,2,444,2016-03-01
1802,BEVERLY,3.0,69.0,2016-02-01,2016,2,172,2016-03-01
1803,CHATHAM,4.0,49.0,2016-02-01,2016,2,1076,2016-03-01
1804,FULLER PARK,3.0,9.0,2016-02-01,2016,2,110,2016-03-01
1805,KENWOOD,6.0,44.0,2016-02-01,2016,2,206,2016-03-01
1806,RIVERDALE,2.0,10.0,2016-02-01,2016,2,196,2016-03-01
1807,WASHINGTON HEIGHTS,2.0,85.0,2016-02-01,2016,2,572,2016-03-01
1808,AUBURN GRESHAM,11.0,113.0,2016-02-01,2016,2,1320,2016-03-01
1809,SOUTH DEERING,13.0,24.0,2016-02-01,2016,2,312,2016-03-01
1810,SOUTH SHORE,9.0,68.0,2016-02-01,2016,2,1328,2016-03-01
1811,WEST PULLMAN,4.0,94.0,2016-02-01,2016,2,708,2016-03-01
1812,FOREST GLEN,10.0,64.0,2016-02-01,2016,2,96,2016-03-01
1813,GRAND BOULEVARD,10.0,89.0,2016-02-01,2016,2,534,2016-03-01
1814,HERMOSA,67.0,38.0,2016-02-01,2016,2,272,2016-03-01
1815,DUNNING,65.0,169.0,2016-02-01,2016,2,282,2016-03-01
1816,EDGEWATER,115.0,82.0,2016-02-01,2016,2,428,2016-03-01
1817,NORTH LAWNDALE,25.0,40.0,2016-02-01,2016,2,1720,2016-03-01
1818,LOOP,101.0,185.0,2016-02-01,2016,2,1400,2016-03-01
1819,CLEARING,36.0,46.0,2016-02-01,2016,2,156,2016-03-01
1820,NEAR SOUTH SIDE,35.0,28.0,2016-02-01,2016,2,304,2016-03-01
1821,NEAR NORTH SIDE,104.0,296.0,2016-02-01,2016,2,1666,2016-03-01
1822,WEST GARFIELD PARK,11.0,11.0,2016-02-01,2016,2,1024,2016-03-01
1823,MOUNT GREENWOOD,10.0,66.0,2016-02-01,2016,2,94,2016-03-01
1824,DOUGLAS,3.0,18.0,2016-02-01,2016,2,402,2016-03-01
1825,AVALON PARK,1.0,15.0,2016-02-01,2016,2,218,2016-03-01
1826,PULLMAN,3.0,14.0,2016-02-01,2016,2,160,2016-03-01
1827,CALUMET HEIGHTS,10.0,39.0,2016-02-01,2016,2,212,2016-03-01
1828,GREATER GRAND CROSSING,7.0,65.0,2016-02-01,2016,2,1134,2016-03-01
1829,HYDE PARK,19.0,59.0,2016-02-01,2016,2,260,2016-03-01
1830,NEW CITY,261.0,95.0,2016-02-01,2016,2,796,2016-03-01
1831,SOUTH LAWNDALE,515.0,88.0,2016-02-01,2016,2,782,2016-03-01
1832,LINCOLN PARK,119.0,123.0,2016-02-01,2016,2,604,2016-03-01
1833,CHICAGO LAWN,179.0,73.0,2016-02-01,2016,2,932,2016-03-01
1834,WEST TOWN,635.0,159.0,2016-02-01,2016,2,1218,2016-03-01
1835,MCKINLEY PARK,403.0,52.0,2016-02-01,2016,2,180,2016-03-01
1836,LOGAN SQUARE,702.0,116.0,2016-02-01,2016,2,784,2016-03-01
1837,WEST LAWN,312.0,208.0,2016-02-01,2016,2,376,2016-03-01
1838,NORTH PARK,58.0,31.0,2016-02-01,2016,2,210,2016-03-01
1839,MORGAN PARK,3.0,58.0,2016-02-01,2016,2,360,2016-03-01
1840,AUSTIN,38.0,136.0,2016-02-01,2016,2,2696,2016-03-01
1841,JEFFERSON PARK,27.0,36.0,2016-02-01,2016,2,166,2016-03-01
1842,ARMOUR SQUARE,50.0,18.0,2016-02-01,2016,2,106,2016-03-01
1843,MONTCLARE,15.0,14.0,2016-02-01,2016,2,104,2016-03-01
1844,EAST GARFIELD PARK,23.0,52.0,2016-02-01,2016,2,780,2016-03-01
1845,ROGERS PARK,165.0,19.0,2016-02-01,2016,2,614,2016-03-01
1846,WEST ENGLEWOOD,21.0,76.0,2016-02-01,2016,2,1262,2016-03-01
1847,EAST SIDE,115.0,48.0,2016-02-01,2016,2,236,2016-03-01
1848,NEAR WEST SIDE,162.0,229.0,2016-02-01,2016,2,1470,2016-03-01
1849,IRVING PARK,493.0,80.0,2016-02-01,2016,2,456,2016-03-01
1850,LAKE VIEW,264.0,93.0,2016-02-01,2016,2,898,2016-03-01
1851,HEGEWISCH,20.0,13.0,2016-02-01,2016,2,80,2016-03-01
1852,UPTOWN,129.0,44.0,2016-02-01,2016,2,608,2016-03-01
1853,ASHBURN,55.0,115.0,2016-02-01,2016,2,352,2016-03-01
1854,LINCOLN SQUARE,326.0,67.0,2016-02-01,2016,2,312,2016-03-01
1855,PORTAGE PARK,162.0,54.0,2016-02-01,2016,2,602,2016-03-01
1856,WOODLAWN,8.0,35.0,2016-02-01,2016,2,614,2016-03-01
1857,ENGLEWOOD,12.0,63.0,2016-02-01,2016,2,1150,2016-03-01
1858,WEST ELSDON,257.0,92.0,2016-02-01,2016,2,166,2016-03-01
1859,HUMBOLDT PARK,151.0,68.0,2016-02-01,2016,2,1374,2016-03-01
1860,BRIDGEPORT,159.0,66.0,2016-02-01,2016,2,258,2016-03-01
1861,BELMONT CRAGIN,377.0,94.0,2016-02-01,2016,2,786,2016-03-01
1862,NORTH CENTER,226.0,52.0,2016-02-01,2016,2,244,2016-03-01
1863,BRIGHTON PARK,673.0,62.0,2016-02-01,2016,2,440,2016-03-01
1864,LOWER WEST SIDE,347.0,113.0,2016-02-01,2016,2,394,2016-03-01
1865,SOUTH CHICAGO,71.0,34.0,2016-02-01,2016,2,850,2016-03-01
1866,GAGE PARK,396.0,116.0,2016-02-01,2016,2,386,2016-03-01
1867,ALBANY PARK,429.0,51.0,2016-02-01,2016,2,424,2016-03-01
1868,ARCHER HEIGHTS,312.0,37.0,2016-02-01,2016,2,148,2016-03-01
1869,GARFIELD RIDGE,125.0,75.0,2016-02-01,2016,2,380,2016-03-01
1870,ROSELAND,22.0,153.0,2016-02-01,2016,2,1070,2016-03-01
1871,WEST RIDGE,152.0,126.0,2016-02-01,2016,2,572,2016-03-01
1872,AVONDALE,572.0,65.0,2016-02-01,2016,2,346,2016-03-01
1873,OHARE,1.0,34.0,2016-03-01,2016,3,292,2016-04-01
1874,HEGEWISCH,1.0,35.0,2016-03-01,2016,3,86,2016-04-01
1875,GRAND BOULEVARD,2.0,52.0,2016-03-01,2016,3,494,2016-04-01
1876,DOUGLAS,2.0,24.0,2016-03-01,2016,3,404,2016-04-01
1877,MORGAN PARK,2.0,132.0,2016-03-01,2016,3,278,2016-04-01
1878,ENGLEWOOD,11.0,39.0,2016-03-01,2016,3,1110,2016-04-01
1879,CALUMET HEIGHTS,6.0,71.0,2016-03-01,2016,3,208,2016-04-01
1880,GARFIELD RIDGE,187.0,125.0,2016-03-01,2016,3,322,2016-04-01
1881,NORWOOD PARK,20.0,136.0,2016-03-01,2016,3,216,2016-04-01
1882,WASHINGTON HEIGHTS,2.0,112.0,2016-03-01,2016,3,524,2016-04-01
1883,PULLMAN,6.0,50.0,2016-03-01,2016,3,166,2016-04-01
1884,NEAR SOUTH SIDE,27.0,19.0,2016-03-01,2016,3,244,2016-04-01
1885,WOODLAWN,10.0,38.0,2016-03-01,2016,3,586,2016-04-01
1886,SOUTH DEERING,18.0,82.0,2016-03-01,2016,3,340,2016-04-01
1887,DUNNING,61.0,87.0,2016-03-01,2016,3,238,2016-04-01
1888,HUMBOLDT PARK,164.0,119.0,2016-03-01,2016,3,1226,2016-04-01
1889,MONTCLARE,27.0,37.0,2016-03-01,2016,3,90,2016-04-01
1890,AVALON PARK,2.0,79.0,2016-03-01,2016,3,188,2016-04-01
1891,AVONDALE,381.0,62.0,2016-03-01,2016,3,326,2016-04-01
1892,HYDE PARK,23.0,33.0,2016-03-01,2016,3,212,2016-04-01
1893,WEST GARFIELD PARK,8.0,22.0,2016-03-01,2016,3,1158,2016-04-01
1894,NEAR WEST SIDE,173.0,127.0,2016-03-01,2016,3,1446,2016-04-01
1895,SOUTH CHICAGO,72.0,78.0,2016-03-01,2016,3,736,2016-04-01
1896,PORTAGE PARK,134.0,151.0,2016-03-01,2016,3,462,2016-04-01
1897,FOREST GLEN,20.0,123.0,2016-03-01,2016,3,94,2016-04-01
1898,EAST GARFIELD PARK,20.0,37.0,2016-03-01,2016,3,758,2016-04-01
1899,RIVERDALE,3.0,5.0,2016-03-01,2016,3,200,2016-04-01
1900,WASHINGTON PARK,10.0,33.0,2016-03-01,2016,3,386,2016-04-01
1901,KENWOOD,5.0,9.0,2016-03-01,2016,3,190,2016-04-01
1902,NORTH PARK,50.0,70.0,2016-03-01,2016,3,158,2016-04-01
1903,AUBURN GRESHAM,9.0,162.0,2016-03-01,2016,3,1236,2016-04-01
1904,MOUNT GREENWOOD,47.0,73.0,2016-03-01,2016,3,84,2016-04-01
1905,MCKINLEY PARK,258.0,42.0,2016-03-01,2016,3,176,2016-04-01
1906,ASHBURN,134.0,120.0,2016-03-01,2016,3,480,2016-04-01
1907,BEVERLY,24.0,114.0,2016-03-01,2016,3,144,2016-04-01
1908,CHICAGO LAWN,248.0,140.0,2016-03-01,2016,3,912,2016-04-01
1909,NORTH LAWNDALE,35.0,87.0,2016-03-01,2016,3,1424,2016-04-01
1910,GREATER GRAND CROSSING,11.0,97.0,2016-03-01,2016,3,1102,2016-04-01
1911,BELMONT CRAGIN,399.0,122.0,2016-03-01,2016,3,776,2016-04-01
1912,WEST TOWN,828.0,184.0,2016-03-01,2016,3,1290,2016-04-01
1913,JEFFERSON PARK,33.0,74.0,2016-03-01,2016,3,156,2016-04-01
1914,EAST SIDE,66.0,90.0,2016-03-01,2016,3,224,2016-04-01
1915,HERMOSA,93.0,34.0,2016-03-01,2016,3,242,2016-04-01
1916,NEAR NORTH SIDE,135.0,221.0,2016-03-01,2016,3,1510,2016-04-01
1917,CLEARING,27.0,64.0,2016-03-01,2016,3,124,2016-04-01
1918,ARMOUR SQUARE,27.0,47.0,2016-03-01,2016,3,134,2016-04-01
1919,SOUTH SHORE,17.0,135.0,2016-03-01,2016,3,1284,2016-04-01
1920,SOUTH LAWNDALE,318.0,81.0,2016-03-01,2016,3,720,2016-04-01
1921,AUSTIN,90.0,159.0,2016-03-01,2016,3,2790,2016-04-01
1922,GAGE PARK,451.0,68.0,2016-03-01,2016,3,356,2016-04-01
1923,ALBANY PARK,424.0,72.0,2016-03-01,2016,3,418,2016-04-01
1924,WEST ENGLEWOOD,34.0,103.0,2016-03-01,2016,3,1218,2016-04-01
1925,LINCOLN SQUARE,377.0,86.0,2016-03-01,2016,3,302,2016-04-01
1926,IRVING PARK,313.0,122.0,2016-03-01,2016,3,432,2016-04-01
1927,BRIDGEPORT,198.0,64.0,2016-03-01,2016,3,228,2016-04-01
1928,LAKE VIEW,338.0,126.0,2016-03-01,2016,3,982,2016-04-01
1929,ROGERS PARK,150.0,262.0,2016-03-01,2016,3,636,2016-04-01
1930,WEST RIDGE,236.0,234.0,2016-03-01,2016,3,452,2016-04-01
1931,NEW CITY,153.0,77.0,2016-03-01,2016,3,824,2016-04-01
1932,WEST ELSDON,278.0,69.0,2016-03-01,2016,3,204,2016-04-01
1933,EDGEWATER,138.0,169.0,2016-03-01,2016,3,456,2016-04-01
1934,WEST PULLMAN,13.0,111.0,2016-03-01,2016,3,674,2016-04-01
1935,WEST LAWN,264.0,142.0,2016-03-01,2016,3,310,2016-04-01
1936,LOWER WEST SIDE,484.0,74.0,2016-03-01,2016,3,390,2016-04-01
1937,LOOP,137.0,95.0,2016-03-01,2016,3,1328,2016-04-01
1938,ARCHER HEIGHTS,264.0,29.0,2016-03-01,2016,3,122,2016-04-01
1939,ROSELAND,21.0,176.0,2016-03-01,2016,3,1026,2016-04-01
1940,LOGAN SQUARE,719.0,106.0,2016-03-01,2016,3,780,2016-04-01
1941,LINCOLN PARK,203.0,121.0,2016-03-01,2016,3,646,2016-04-01
1942,UPTOWN,181.0,48.0,2016-03-01,2016,3,536,2016-04-01
1943,NORTH CENTER,314.0,73.0,2016-03-01,2016,3,250,2016-04-01
1944,BRIGHTON PARK,651.0,69.0,2016-03-01,2016,3,484,2016-04-01
1945,CALUMET HEIGHTS,7.0,72.0,2016-04-01,2016,4,232,2016-05-01
1946,FOREST GLEN,9.0,183.0,2016-04-01,2016,4,86,2016-05-01
1947,WEST PULLMAN,18.0,148.0,2016-04-01,2016,4,702,2016-05-01
1948,PULLMAN,6.0,23.0,2016-04-01,2016,4,260,2016-05-01
1949,AVALON PARK,2.0,39.0,2016-04-01,2016,4,300,2016-05-01
1950,JEFFERSON PARK,25.0,99.0,2016-04-01,2016,4,164,2016-05-01
1951,HYDE PARK,8.0,78.0,2016-04-01,2016,4,240,2016-05-01
1952,MORGAN PARK,30.0,146.0,2016-04-01,2016,4,326,2016-05-01
1953,NORWOOD PARK,15.0,323.0,2016-04-01,2016,4,220,2016-05-01
1954,SOUTH SHORE,8.0,161.0,2016-04-01,2016,4,1574,2016-05-01
1955,SOUTH DEERING,53.0,58.0,2016-04-01,2016,4,360,2016-05-01
1956,GRAND BOULEVARD,8.0,24.0,2016-04-01,2016,4,560,2016-05-01
1957,LINCOLN PARK,132.0,76.0,2016-04-01,2016,4,770,2016-05-01
1958,LAKE VIEW,443.0,165.0,2016-04-01,2016,4,998,2016-05-01
1959,WASHINGTON HEIGHTS,8.0,183.0,2016-04-01,2016,4,594,2016-05-01
1960,UPTOWN,134.0,82.0,2016-04-01,2016,4,616,2016-05-01
1961,NORTH PARK,63.0,85.0,2016-04-01,2016,4,174,2016-05-01
1962,NORTH LAWNDALE,55.0,67.0,2016-04-01,2016,4,1504,2016-05-01
1963,WEST RIDGE,184.0,229.0,2016-04-01,2016,4,544,2016-05-01
1964,EDGEWATER,115.0,165.0,2016-04-01,2016,4,346,2016-05-01
1965,GREATER GRAND CROSSING,3.0,88.0,2016-04-01,2016,4,1166,2016-05-01
1966,WASHINGTON PARK,1.0,20.0,2016-04-01,2016,4,516,2016-05-01
1967,WOODLAWN,10.0,51.0,2016-04-01,2016,4,662,2016-05-01
1968,PORTAGE PARK,108.0,150.0,2016-04-01,2016,4,526,2016-05-01
1969,WEST GARFIELD PARK,31.0,31.0,2016-04-01,2016,4,1006,2016-05-01
1970,AUBURN GRESHAM,33.0,124.0,2016-04-01,2016,4,1298,2016-05-01
1971,AVONDALE,272.0,66.0,2016-04-01,2016,4,386,2016-05-01
1972,ROSELAND,31.0,91.0,2016-04-01,2016,4,1280,2016-05-01
1973,DUNNING,38.0,127.0,2016-04-01,2016,4,318,2016-05-01
1974,HUMBOLDT PARK,195.0,66.0,2016-04-01,2016,4,1410,2016-05-01
1975,ARMOUR SQUARE,50.0,40.0,2016-04-01,2016,4,164,2016-05-01
1976,BRIDGEPORT,140.0,50.0,2016-04-01,2016,4,260,2016-05-01
1977,MOUNT GREENWOOD,29.0,162.0,2016-04-01,2016,4,80,2016-05-01
1978,DOUGLAS,3.0,13.0,2016-04-01,2016,4,410,2016-05-01
1979,KENWOOD,1.0,21.0,2016-04-01,2016,4,242,2016-05-01
1980,ROGERS PARK,56.0,39.0,2016-04-01,2016,4,636,2016-05-01
1981,ENGLEWOOD,17.0,36.0,2016-04-01,2016,4,1244,2016-05-01
1982,MONTCLARE,25.0,40.0,2016-04-01,2016,4,130,2016-05-01
1983,GARFIELD RIDGE,148.0,341.0,2016-04-01,2016,4,390,2016-05-01
1984,ASHBURN,156.0,142.0,2016-04-01,2016,4,462,2016-05-01
1985,LOGAN SQUARE,839.0,155.0,2016-04-01,2016,4,1012,2016-05-01
1986,NEW CITY,179.0,81.0,2016-04-01,2016,4,834,2016-05-01
1987,HERMOSA,99.0,24.0,2016-04-01,2016,4,224,2016-05-01
1988,WEST ENGLEWOOD,23.0,54.0,2016-04-01,2016,4,1282,2016-05-01
1989,NEAR NORTH SIDE,164.0,123.0,2016-04-01,2016,4,1730,2016-05-01
1990,ARCHER HEIGHTS,326.0,28.0,2016-04-01,2016,4,148,2016-05-01
1991,IRVING PARK,336.0,141.0,2016-04-01,2016,4,480,2016-05-01
1992,BELMONT CRAGIN,381.0,109.0,2016-04-01,2016,4,914,2016-05-01
1993,LINCOLN SQUARE,419.0,66.0,2016-04-01,2016,4,302,2016-05-01
1994,CLEARING,11.0,100.0,2016-04-01,2016,4,194,2016-05-01
1995,ALBANY PARK,471.0,79.0,2016-04-01,2016,4,414,2016-05-01
1996,OHARE,1.0,47.0,2016-04-01,2016,4,340,2016-05-01
1997,EAST GARFIELD PARK,51.0,12.0,2016-04-01,2016,4,928,2016-05-01
1998,LOOP,128.0,127.0,2016-04-01,2016,4,1608,2016-05-01
1999,NEAR WEST SIDE,279.0,196.0,2016-04-01,2016,4,1546,2016-05-01
2000,MCKINLEY PARK,355.0,27.0,2016-04-01,2016,4,178,2016-05-01
2001,WEST TOWN,819.0,142.0,2016-04-01,2016,4,1424,2016-05-01
2002,CHICAGO LAWN,213.0,72.0,2016-04-01,2016,4,1096,2016-05-01
2003,GAGE PARK,493.0,33.0,2016-04-01,2016,4,412,2016-05-01
2004,HEGEWISCH,18.0,25.0,2016-04-01,2016,4,114,2016-05-01
2005,BEVERLY,21.0,124.0,2016-04-01,2016,4,160,2016-05-01
2006,NORTH CENTER,123.0,99.0,2016-04-01,2016,4,198,2016-05-01
2007,SOUTH CHICAGO,29.0,110.0,2016-04-01,2016,4,840,2016-05-01
2008,NEAR SOUTH SIDE,39.0,28.0,2016-04-01,2016,4,352,2016-05-01
2009,WEST ELSDON,292.0,50.0,2016-04-01,2016,4,200,2016-05-01
2010,WEST LAWN,204.0,168.0,2016-04-01,2016,4,364,2016-05-01
2011,EAST SIDE,73.0,100.0,2016-04-01,2016,4,216,2016-05-01
2012,LOWER WEST SIDE,515.0,88.0,2016-04-01,2016,4,484,2016-05-01
2013,AUSTIN,115.0,144.0,2016-04-01,2016,4,3024,2016-05-01
2014,SOUTH LAWNDALE,409.0,139.0,2016-04-01,2016,4,788,2016-05-01
2015,BRIGHTON PARK,553.0,69.0,2016-04-01,2016,4,508,2016-05-01
2016,EDISON PARK,1.0,113.0,2016-05-01,2016,5,52,2016-06-01
2017,NORWOOD PARK,1.0,282.0,2016-05-01,2016,5,210,2016-06-01
2018,CHATHAM,3.0,95.0,2016-05-01,2016,5,1084,2016-06-01
